Date,Time,CminusO,DCminusDO,DOminusYC
1130115,1250,3,-59,-27
1130115,1255,1,-59,-27
1130115,1300,8,-59,-27
1130115,1305,-6,-59,-27
1130115,1310,0,-59,-27
1130115,1315,-6,-59,-27
1130115,1320,3,-59,-27
1130115,1325,0,-59,-27
1130115,1330,-2,-59,-27
1130115,1335,2,-59,-27
1130115,1340,-1,-59,-27
1130115,1345,-9,-59,-27
1130116,850,11,-33,9
1130116,855,-1,-33,9
1130116,900,-3,-33,9
1130116,905,-26,-33,9
1130116,910,-5,-33,9
1130116,915,-17,-33,9
1130116,920,4,-33,9
1130116,925,2,-33,9
1130116,930,-9,-33,9
1130116,935,5,-33,9
1130116,940,9,-33,9
1130116,945,-1,-33,9
1130116,950,-7,-33,9
1130116,955,5,-33,9
1130116,1000,-1,-33,9
1130116,1005,9,-33,9
1130116,1010,7,-33,9
1130116,1015,-5,-33,9
1130116,1020,8,-33,9
1130116,1025,8,-33,9
1130116,1030,-3,-33,9
1130116,1035,0,-33,9
1130116,1040,-2,-33,9
1130116,1045,14,-33,9
1130116,1050,1,-33,9
1130116,1055,-4,-33,9
1130116,1100,-7,-33,9
1130116,1105,1,-33,9
1130116,1110,2,-33,9
1130116,1115,1,-33,9
1130116,1120,-4,-33,9
1130116,1125,-6,-33,9
1130116,1130,1,-33,9
1130116,1135,3,-33,9
1130116,1140,-5,-33,9
1130116,1145,3,-33,9
1130116,1150,-5,-33,9
1130116,1155,3,-33,9
1130116,1200,3,-33,9
1130116,1205,1,-33,9
1130116,1210,4,-33,9
1130116,1215,1,-33,9
1130116,1220,3,-33,9
1130116,1225,2,-33,9
1130116,1230,-7,-33,9
1130116,1235,0,-33,9
1130116,1240,1,-33,9
1130116,1245,2,-33,9
1130116,1250,0,-33,9
1130116,1255,-1,-33,9
1130116,1300,-6,-33,9
1130116,1305,-4,-33,9
1130116,1310,-8,-33,9
1130116,1315,-2,-33,9
1130116,1320,-2,-33,9
1130116,1325,0,-33,9
1130116,1330,0,-33,9
1130117,850,15,-88,-15
1130117,855,9,-88,-15
1130117,900,0,-88,-15
1130117,905,23,-88,-15
1130117,910,11,-88,-15
1130117,915,-7,-88,-15
1130117,920,7,-88,-15
1130117,925,-3,-88,-15
1130117,930,-6,-88,-15
1130117,935,-6,-88,-15
1130117,940,4,-88,-15
1130117,945,-4,-88,-15
1130117,950,4,-88,-15
1130117,955,-1,-88,-15
1130117,1000,9,-88,-15
1130117,1005,-7,-88,-15
1130117,1010,2,-88,-15
1130117,1015,-15,-88,-15
1130117,1020,-1,-88,-15
1130117,1025,1,-88,-15
1130117,1030,-8,-88,-15
1130117,1035,5,-88,-15
1130117,1040,-5,-88,-15
1130117,1045,0,-88,-15
1130117,1050,1,-88,-15
1130117,1055,-6,-88,-15
1130117,1100,3,-88,-15
1130117,1105,6,-88,-15
1130117,1110,-5,-88,-15
1130117,1115,-12,-88,-15
1130117,1120,-8,-88,-15
1130117,1125,-26,-88,-15
1130117,1130,6,-88,-15
1130117,1135,2,-88,-15
1130117,1140,-25,-88,-15
1130117,1145,-26,-88,-15
1130117,1150,-5,-88,-15
1130117,1155,8,-88,-15
1130117,1200,-3,-88,-15
1130117,1205,-3,-88,-15
1130117,1210,7,-88,-15
1130117,1215,-1,-88,-15
1130117,1220,-1,-88,-15
1130117,1225,-11,-88,-15
1130117,1230,-12,-88,-15
1130117,1235,-13,-88,-15
1130117,1240,-14,-88,-15
1130117,1245,12,-88,-15
1130117,1250,4,-88,-15
1130117,1255,5,-88,-15
1130117,1300,5,-88,-15
1130117,1305,-9,-88,-15
1130117,1310,-15,-88,-15
1130117,1315,-4,-88,-15
1130117,1320,14,-88,-15
1130117,1325,-4,-88,-15
1130117,1330,-1,-88,-15
1130117,1335,-3,-88,-15
1130117,1340,17,-88,-15
1130117,1345,1,-88,-15
1130118,850,5,19,78
1130118,855,-7,19,78
1130118,900,-1,19,78
1130118,905,-4,19,78
1130118,910,18,19,78
1130118,915,-6,19,78
1130118,920,-17,19,78
1130118,925,5,19,78
1130118,930,-6,19,78
1130118,935,-5,19,78
1130118,940,-2,19,78
1130118,945,12,19,78
1130118,950,0,19,78
1130118,955,-3,19,78
1130118,1000,7,19,78
1130118,1005,-8,19,78
1130118,1010,-3,19,78
1130118,1015,0,19,78
1130118,1020,-5,19,78
1130118,1025,-3,19,78
1130118,1030,3,19,78
1130118,1035,-1,19,78
1130118,1040,8,19,78
1130118,1045,-1,19,78
1130118,1050,-4,19,78
1130118,1055,3,19,78
1130118,1100,7,19,78
1130118,1105,-2,19,78
1130118,1110,8,19,78
1130118,1115,-3,19,78
1130118,1120,2,19,78
1130118,1125,-3,19,78
1130118,1130,-2,19,78
1130118,1135,3,19,78
1130118,1140,1,19,78
1130118,1145,-3,19,78
1130118,1150,4,19,78
1130118,1155,-1,19,78
1130118,1200,1,19,78
1130118,1205,-2,19,78
1130118,1210,1,19,78
1130118,1215,2,19,78
1130118,1220,4,19,78
1130118,1225,-3,19,78
1130118,1230,2,19,78
1130118,1235,-3,19,78
1130118,1240,-3,19,78
1130118,1245,0,19,78
1130118,1250,3,19,78
1130118,1255,2,19,78
1130118,1300,-2,19,78
1130118,1305,2,19,78
1130118,1310,1,19,78
1130118,1315,0,19,78
1130118,1320,4,19,78
1130118,1325,5,19,78
1130118,1330,9,19,78
1130118,1335,11,19,78
1130118,1340,-4,19,78
1130118,1345,-2,19,78
1130121,850,-3,21,-28
1130121,855,2,21,-28
1130121,900,3,21,-28
1130121,905,9,21,-28
1130121,910,-35,21,-28
1130121,915,-2,21,-28
1130121,920,4,21,-28
1130121,925,2,21,-28
1130121,930,0,21,-28
1130121,935,2,21,-28
1130121,940,-6,21,-28
1130121,945,0,21,-28
1130121,950,0,21,-28
1130121,955,4,21,-28
1130121,1000,36,21,-28
1130121,1005,-2,21,-28
1130121,1010,15,21,-28
1130121,1015,-6,21,-28
1130121,1020,-6,21,-28
1130121,1025,3,21,-28
1130121,1030,5,21,-28
1130121,1035,-4,21,-28
1130121,1040,1,21,-28
1130121,1045,9,21,-28
1130121,1050,-4,21,-28
1130121,1055,-8,21,-28
